question,base_answer,final_answer,outcome
when did hootie and the blowfish come out,1987,1986,Improved
which material is the heaviest in term of density,Uranium,Osmium,Improved
when did the jurassic park movies come out,AND 1997,1993,Improved
who was the captain of the mayflower when it took the pilgrims to the new world,CAPTAIN_JOHN_SMITH,Christopher Jones,Improved
who was the captain of the mayflower when it took the pilgrims to the new world,CAPTAIN_JOHN_SMITH,Christopher Jones,Improved
when was beowulf most likely composed when did it's events probably take place,Circa 600 AD,Circa 600 AD,Regressed
when was beowulf most likely composed when did it's events probably take place,Circa 600 AD,Circa 600 AD,Regressed
when was beowulf most likely composed when did it's events probably take place,Circa 600 AD,Circa 600 AD,Regressed
what is the number of cities in texas,9,,Error
when did refrigerator perry play for the bears,1985,,Error
when did refrigerator perry play for the bears,1985,,Error
what is the number of cities in texas,9,,Error
what is the number of cities in texas,9,,Error
what is the number of cities in texas,9,,Error
what is the number of cities in texas,9,,Error
what is the number of cities in texas,9,,Error
what is the number of cities in texas,9,,Error
what is the number of cities in texas,9,,Error
what is the number of cities in texas,9,,Error
what is the number of cities in texas,9,,Error
what is the number of cities in texas,9,,Error
what is the number of cities in texas,9,,Error
what is the number of cities in texas,9,,Error
what is the number of cities in texas,9,,Error
what is the number of cities in texas,9,,Error
what is the number of cities in texas,9,,Error
what is the number of cities in texas,9,,Error
when did refrigerator perry play for the bears,1985,,Error
when did refrigerator perry play for the bears,1985,,Error
the area enclosed by hysteresis loop is a measure of,Energy,,Error
what is the number of cities in texas,9,,Error
what is the number of cities in texas,9,,Error
what is the number of cities in texas,9,,Error
what is the number of cities in texas,9,,Error
what is the number of cities in texas,9,,Error
the area enclosed by hysteresis loop is a measure of,Energy,,Error
the area enclosed by hysteresis loop is a measure of,Energy,,Error
the area enclosed by hysteresis loop is a measure of,Energy,,Error
